season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2009,2009/08/12,Colombo (RPS),Sri Lanka ,Pakistan,Pakistan,Pakistan,bat,52,
2009,2009/08/30,Manchester,England,Australia,,England,field,-,-
2009,2009/09/01,Manchester,England,Australia,,,,-,-
2009,2009/09/02,Colombo (RPS),Sri Lanka ,New Zealand,New Zealand,New Zealand,bat,3,
2009,2009/09/04,Colombo (RPS),Sri Lanka , New Zealand, New Zealand, New Zealand,bat,22,
2009,2009/11/12,Dubai (DSC),New Zealand , Pakistan, Pakistan,New Zealand ,field,49,
2009,2009/11/13,Dubai (DSC),New Zealand ,Pakistan,Pakistan,Pakistan,bat,7,
2009,2009/11/13,Johannesburg,South Africa,England,England,South Africa,field,1,
2009,2009/11/15,Centurion,South Africa, England,South Africa,South Africa,bat,84,
2009,2009/12/09,Nagpur,India ,Sri Lanka,Sri Lanka,India ,field,29,
2009,2009/12/12,Mohali,India ,Sri Lanka,India ,Sri Lanka,bat,,6
2010,2010/02/01,Colombo (PSS),Afghanistan , Ireland, Ireland, Ireland,bat,,5
2010,2010/02/03,Hamilton,New Zealand, Bangladesh,New Zealand, Bangladesh,bat,,
2010,2010/02/04,Colombo (SSC),Afghanistan ,Canada,Canada,Canada,bat,,5
2010,2010/02/04,Nairobi (Gym),Kenya , Scotland, Scotland, Scotland,bat,,
2010,2010/02/05,Melbourne,Australia ,Pakistan,Australia ,Australia ,bat,2,
2010,2010/02/09,Dubai (DSC),Afghanistan ,Ireland,Afghanistan ,Ireland,field,13,
2010,2010/02/09,Dubai (DSC),Canada ,Netherlands,Netherlands,Canada ,bat,,6
2010,2010/02/10,Abu Dhabi,Afghanistan , Scotland,Afghanistan , Scotland,field,14,
2010,2010/02/10,Dubai (DSC),Canada , Kenya, Kenya, Kenya,field,,9
2010,2010/02/11,Dubai (DSC),Ireland ,Scotland,Ireland ,Ireland ,bat,37,
2010,2010/02/11,Abu Dhabi,Kenya , Netherlands, Netherlands, Netherlands,field,,7
2010,2010/02/12,Dubai (DSC),Afghanistan , Netherlands, Netherlands, Netherlands,field,,4
